"id","title","jurisdiction","organization"
"8f706740-c294-4976-8567-97bf6b60af74","Minister's Advisory Council on Impact Assessment - First Report (June 2021)","federal","Impact Assessment Agency of Canada | Agence d'évaluation d'impact du Canada"
"8dae0ffd-dbb7-46f7-89eb-efa64b2ce385","Alberta Municipal Affairs Population List","provincial","Government of Alberta | Gouvernement de l'Alberta"
"5c8b4ca2-c774-4ba3-8f4c-839b72ce08f7","Alberta Municipal Officials directory","provincial","Government of Alberta | Gouvernement de l'Alberta"
"92d70230-34c2-44a9-a61f-cf0721375473","Great Lakes Guardian Community Fund recipients","provincial","Government of Ontario | Gouvernement de l'Ontario"
"0a469551-8e68-41b8-8a00-20d708d5d3a2","Metis Settlement","provincial","Government of Alberta | Gouvernement de l'Alberta"
